City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lodja,-3.4833,23.4333,19.74,90,100,1.12,CD,1675658023
1,rosarito,32.3333,-117.0333,12.85,78,4,4.82,MX,1675658024
2,puerto escondido,15.85,-97.0667,25.46,78,0,2.57,MX,1675658024
3,mahebourg,-20.4081,57.7,28.47,78,40,3.6,MU,1675658024
4,ushtobe,45.2514,77.9838,-0.01,92,100,0.59,KZ,1675658025
5,ushuaia,-54.8,-68.3,5.81,65,75,4.12,AR,1675657914
6,vaini,-21.2,-175.2,28.09,74,20,3.09,TO,1675657977
7,college,64.8569,-147.8028,-17.01,81,20,3.09,US,1675658025
8,fukue,32.6881,128.8419,11.2,62,75,3.6,JP,1675658026
9,half moon bay,37.4636,-122.4286,10.42,85,75,10.8,US,1675657840
10,diffa,13.3154,12.6113,21.01,22,88,4.88,NE,1675657932
11,hobart,-42.8794,147.3294,23.92,47,0,8.75,AU,1675657808
12,cayeli,41.0923,40.7292,6.8,73,100,2.16,TR,1675658026
13,bethel,41.3712,-73.414,4.16,66,0,0.0,US,1675657976
14,albany,42.6001,-73.9662,4.23,63,100,1.62,US,1675657974
15,anadyr,64.75,177.4833,-29.72,74,75,5.0,RU,1675658027
16,vila velha,-20.3297,-40.2925,26.08,86,0,3.09,BR,1675658027
17,broome,42.2506,-75.833,5.47,64,100,4.63,US,1675658028
18,tasiilaq,65.6145,-37.6368,-4.91,91,98,4.89,GL,1675658016
19,punta arenas,-53.15,-70.9167,10.06,71,75,4.63,CL,1675657753
20,asau,46.4333,26.4,-3.49,94,98,3.49,RO,1675658028
21,bahir dar,11.5936,37.3908,18.19,31,80,1.78,ET,1675658029
22,rikitea,-23.1203,-134.9692,25.99,76,3,6.42,PF,1675657981
23,puerto ayora,-0.7393,-90.3518,26.42,92,29,2.68,EC,1675658014
24,santiago del estero,-27.7951,-64.2615,23.28,47,20,2.56,AR,1675658029
25,cao bang,22.6667,106.25,17.46,98,100,1.11,VN,1675658029
26,kropotkin,45.4375,40.5756,-1.49,78,61,7.0,RU,1675658030
27,san patricio,28.017,-97.5169,18.92,93,0,3.5,US,1675657991
28,cape town,-33.9258,18.4232,21.62,86,20,6.69,ZA,1675658007
29,caravelas,-17.7125,-39.2481,24.98,86,0,4.05,BR,1675658030
30,vestmanna,62.1564,-7.1664,8.51,93,100,11.32,FO,1675658031
31,busselton,-33.65,115.3333,27.55,43,0,6.92,AU,1675657976
32,lakes entrance,-37.8811,147.981,22.87,62,3,5.35,AU,1675658031
33,atuona,-9.8,-139.0333,26.06,76,12,7.3,PF,1675657987
34,ribeira grande,38.5167,-28.7,15.99,95,100,5.36,PT,1675658031
35,mar del plata,-38.0023,-57.5575,23.94,73,0,3.6,AR,1675658032
36,kahului,20.8947,-156.47,24.43,78,0,8.75,US,1675658012
37,port macquarie,-31.4333,152.9167,28.27,60,1,5.62,AU,1675658032
38,bluff,-46.6,168.3333,15.62,77,86,10.77,NZ,1675657993
39,tuktoyaktuk,69.4541,-133.0374,-42.0,60,0,2.57,CA,1675658033
40,new norfolk,-42.7826,147.0587,23.72,48,33,3.58,AU,1675658033
41,beloha,-25.1667,45.05,24.02,80,100,4.96,MG,1675658033
42,jamestown,42.097,-79.2353,3.9,89,100,3.6,US,1675657984
43,kaitangata,-46.2817,169.8464,19.54,53,69,4.82,NZ,1675658034
44,port elizabeth,-33.918,25.5701,23.94,97,100,3.6,ZA,1675658034
45,enshi,30.3,109.4833,14.12,62,37,1.06,CN,1675658035
46,upernavik,72.7868,-56.1549,-26.58,93,100,6.61,GL,1675658035
47,anloga,5.7947,0.8973,26.92,86,100,5.31,GH,1675658035
48,georgetown,5.4112,100.3354,27.97,81,40,5.14,MY,1675657842
49,longyearbyen,78.2186,15.6401,-5.09,80,20,5.66,SJ,1675658036
50,obidos,-1.9175,-55.5181,22.46,96,40,1.19,BR,1675658036
51,airai,-8.9266,125.4092,21.16,74,88,1.64,TL,1675658036
52,nurota,40.5614,65.6886,4.49,61,100,1.64,UZ,1675658037
53,nouakchott,18.0858,-15.9785,15.96,37,41,7.08,MR,1675658037
54,kleive,62.7954,7.6359,4.18,100,100,2.57,NO,1675658037
55,mount isa,-20.7333,139.5,30.87,66,40,3.6,AU,1675657903
56,sitka,57.0531,-135.33,5.94,70,100,12.35,US,1675658038
57,torbay,47.6666,-52.7314,-0.96,85,75,9.77,CA,1675657992
58,san cristobal,7.7669,-72.225,21.1,87,20,1.33,VE,1675658038
59,port alfred,-33.5906,26.891,22.88,95,57,3.37,ZA,1675657976
60,tecpan,14.7623,-90.9947,10.9,97,3,2.55,GT,1675658039
61,acapulco,16.8634,-99.8901,26.9,74,0,1.54,MX,1675657900
62,erenhot,43.6475,111.9767,-4.86,31,45,2.32,CN,1675658039
63,abatskoye,56.2875,70.4555,-17.52,99,100,1.29,RU,1675658039
64,geraldton,-28.7667,114.6,27.23,54,75,7.72,AU,1675657888
65,sao filipe,14.8961,-24.4956,20.09,64,56,7.7,CV,1675657998
66,dikson,73.5069,80.5464,-17.85,97,100,1.47,RU,1675657991
67,cabedelo,-6.9811,-34.8339,25.37,82,19,3.25,BR,1675658040
